conteudo,enviado_por,canal,prioridade_atendimento,status_atendimento,tipo_pessoa,gravidade,categoria
fui embora com raiva do atendimento,BENEFICIARIO,presencial,2,SOLICITADO,OUTRO,1,reclamacao
cada vez mais dificil conseguir vaga,BENEFICIARIO,email,3,SOLICITADO,MULHER_APOLONIA,1,reclamacao
marquei e nao ficou registrado,BENEFICIARIO,email,4,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
nao me chamaram sendo que ja estava la,BENEFICIARIO,telefone,2,SOLICITADO,MULHER_APOLONIA,2,reclamacao
me disseram uma coisa e fizeram outra,BENEFICIARIO,whatsapp,4,SOLICITADO,MULHER_APOLONIA,1,reclamacao
fui a terceira vez e mesma coisa,BENEFICIARIO,presencial,3,SOLICITADO,CRIANCA_ADOLESCENTE,3,reclamacao
o voluntario nao escutou o que eu falei,BENEFICIARIO,whatsapp,2,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
nao tem acesso facil pro local,BENEFICIARIO,telefone,3,ABERTO,OUTRO,2,reclamacao
esperava mais de um servico assim,BENEFICIARIO,telefone,2,ABERTO,MULHER_APOLONIA,2,reclamacao
minha consulta ja foi cancelada 2 vezes,BENEFICIARIO,email,2,SOLICITADO,OUTRO,1,reclamacao
a fila nao tem organizacao nenhuma,BENEFICIARIO,email,4,ABERTO,CRIANCA_ADOLESCENTE,2,reclamacao
ninguem me recebeu quando cheguei,BENEFICIARIO,presencial,2,SOLICITADO,OUTRO,1,reclamacao
o email que mandei ficou sem resposta,BENEFICIARIO,whatsapp,3,SOLICITADO,MULHER_APOLONIA,3,reclamacao
nao consigo informacao sobre meu caso,BENEFICIARIO,whatsapp,2,ABERTO,OUTRO,3,reclamacao
fiquei la mais de 2h sem explicacao,BENEFICIARIO,email,3,SOLICITADO,CRIANCA_ADOLESCENTE,1,reclamacao
meu caso foi enviado pro lugar errado,BENEFICIARIO,email,2,SOLICITADO,OUTRO,2,reclamacao
liguei varias vezes e ninguem atendeu,BENEFICIARIO,presencial,4,ABERTO,MULHER_APOLONIA,1,reclamacao
me enviaram pro lugar errado de proposito,BENEFICIARIO,telefone,4,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
o sistema travou e perdi meu horario,BENEFICIARIO,whatsapp,2,ABERTO,OUTRO,2,reclamacao
o dentista nao se apresentou,BENEFICIARIO,email,2,SOLICITADO,OUTRO,3,reclamacao
nao achei o local com as instrucoes dadas,BENEFICIARIO,telefone,3,SOLICITADO,OUTRO,3,reclamacao
me colocaram pra esperar sem explicar,BENEFICIARIO,telefone,3,SOLICITADO,OUTRO,3,reclamacao
nao gostei do jeito que fui tratada,BENEFICIARIO,whatsapp,2,SOLICITADO,MULHER_APOLONIA,3,reclamacao
nao me deram retorno do meu caso,BENEFICIARIO,telefone,2,SOLICITADO,CRIANCA_ADOLESCENTE,1,reclamacao
fui desconsiderada la na frente de todos,BENEFICIARIO,whatsapp,2,ABERTO,OUTRO,1,reclamacao
o servico esta muito aquem do esperado,BENEFICIARIO,email,3,SOLICITADO,MULHER_APOLONIA,1,reclamacao
me fizeram ficar esperando sem motivo,BENEFICIARIO,telefone,3,ABERTO,MULHER_APOLONIA,2,reclamacao
minha filha saiu sem atendimento completo,BENEFICIARIO,whatsapp,4,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
nao tive acesso ao responsavel do meu caso,BENEFICIARIO,whatsapp,2,ABERTO,OUTRO,1,reclamacao
q descuido com a nossa situacao,BENEFICIARIO,email,4,ABERTO,OUTRO,3,reclamacao
me senti abandonada la dentro,BENEFICIARIO,presencial,3,ABERTO,OUTRO,1,reclamacao
pior experiencia que tive num atendimento,BENEFICIARIO,presencial,4,SOLICITADO,MULHER_APOLONIA,2,reclamacao
nao tem jeito de reclamar la,BENEFICIARIO,email,4,ABERTO,MULHER_APOLONIA,2,reclamacao
nao solucionaram nada do meu caso,BENEFICIARIO,telefone,3,ABERTO,MULHER_APOLONIA,2,reclamacao
me trataram com indiferenca total,BENEFICIARIO,whatsapp,2,ABERTO,OUTRO,1,reclamacao
que servico frustrante,BENEFICIARIO,presencial,2,SOLICITADO,OUTRO,2,reclamacao
minha crianca ficou com medo do lugar,BENEFICIARIO,whatsapp,4,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
voltei de maos vazias depois de horas,BENEFICIARIO,telefone,2,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
nao consigo noticias do meu caso,BENEFICIARIO,telefone,4,ABERTO,MULHER_APOLONIA,1,reclamacao
o atendimento nao foi compativel com minha necessidade,BENEFICIARIO,whatsapp,3,SOLICITADO,MULHER_APOLONIA,3,reclamacao
foi muito ruim voltarei nao,BENEFICIARIO,whatsapp,2,ABERTO,MULHER_APOLONIA,3,reclamacao
o site de vcs nao funciona direito,BENEFICIARIO,telefone,4,ABERTO,OUTRO,1,reclamacao
nao me deram opcao de horario,BENEFICIARIO,whatsapp,2,SOLICITADO,CRIANCA_ADOLESCENTE,1,reclamacao
fui encaminhada errada e perdi a viagem,BENEFICIARIO,email,2,ABERTO,OUTRO,1,reclamacao
ficaram me enrolando sem resolucao,BENEFICIARIO,email,4,SOLICITADO,MULHER_APOLONIA,3,reclamacao
nao me avisaram sobre mudanca de local,BENEFICIARIO,email,4,SOLICITADO,OUTRO,1,reclamacao
me passaram numero errado de contato,BENEFICIARIO,presencial,4,ABERTO,OUTRO,3,reclamacao
minha consulta foi esquecida no sistema,BENEFICIARIO,email,2,ABERTO,MULHER_APOLONIA,1,reclamacao
o voluntario foi indelicado e arrogante,BENEFICIARIO,presencial,2,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
nao tenho como acessar meu historico,BENEFICIARIO,telefone,3,SOLICITADO,MULHER_APOLONIA,1,reclamacao
me fizeram preencher tudo de novo sem motivo,BENEFICIARIO,whatsapp,4,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
nao resolvi nada mesmo indo pessoalmente,BENEFICIARIO,presencial,3,SOLICITADO,OUTRO,1,reclamacao
que falta de comunicacao entre a equipe,BENEFICIARIO,presencial,2,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
minha filha ficou com duvida e ninguem ajudou,BENEFICIARIO,email,4,ABERTO,OUTRO,3,reclamacao
me mandaram pro local errado duas vezes,BENEFICIARIO,email,3,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
senti que ninguem queria me atender,BENEFICIARIO,whatsapp,3,SOLICITADO,OUTRO,2,reclamacao
o atendimento foi desrespeitoso,BENEFICIARIO,whatsapp,3,ABERTO,OUTRO,2,reclamacao
nao cumpriram o que prometeram,BENEFICIARIO,email,3,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
me senti um fardo pra eles,BENEFICIARIO,email,3,ABERTO,OUTRO,1,reclamacao
atendimento lento e descuidado,BENEFICIARIO,presencial,2,ABERTO,OUTRO,3,reclamacao
fui atendida mas nao resolvi o problema,BENEFICIARIO,presencial,3,SOLICITADO,OUTRO,2,reclamacao
me cobram doc diferente toda vez,BENEFICIARIO,email,2,ABERTO,OUTRO,2,reclamacao
nao tem como agendar online,BENEFICIARIO,telefone,2,SOLICITADO,CRIANCA_ADOLESCENTE,1,reclamacao
que demora enorme pra simples resposta,BENEFICIARIO,telefone,4,SOLICITADO,OUTRO,3,reclamacao
minha filha saiu da consulta sem entender nada,BENEFICIARIO,telefone,2,SOLICITADO,MULHER_APOLONIA,1,reclamacao
me deram retorno errado sobre meu caso,BENEFICIARIO,telefone,2,ABERTO,OUTRO,1,reclamacao
fui pro local e estava tudo fechado,BENEFICIARIO,presencial,4,SOLICITADO,MULHER_APOLONIA,3,reclamacao
atendimento aquem do esperado,BENEFICIARIO,presencial,3,SOLICITADO,MULHER_APOLONIA,3,reclamacao
nao confio mais nas informacoes que dao,BENEFICIARIO,presencial,2,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
Que experiencia horrivel,BENEFICIARIO,telefone,4,SOLICITADO,MULHER_APOLONIA,3,reclamacao
"O dentista foi muito cuidadoso com minha filha, adoramos",BENEFICIARIO,email,3,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
Quero agradecer imensamente pelo atendimento que recebi,BENEFICIARIO,whatsapp,3,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
"Excelente serviço, meu filho saiu sorrindo da consulta",BENEFICIARIO,presencial,3,ENCERRADO,MULHER_APOLONIA,2,elogio
"A voluntária foi super atenciosa e paciente, parabéns",BENEFICIARIO,whatsapp,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
Graças a vocês meu filho está sem dor de dente pela primeira vez,BENEFICIARIO,telefone,4,ENCERRADO,OUTRO,2,elogio
"Nunca fui tão bem atendida, estão de parabéns",BENEFICIARIO,telefone,3,ENCERRADO,OUTRO,2,elogio
"A equipe foi incrível, me senti acolhida em todos os momentos",BENEFICIARIO,presencial,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
"O atendimento foi muito rápido e eficiente, impressionante",BENEFICIARIO,presencial,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
Obrigada de coração pelo cuidado com meu filho,BENEFICIARIO,whatsapp,4,ENCERRADO,OUTRO,2,elogio
Vocês fazem um trabalho lindo e muito importante,BENEFICIARIO,email,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
A recepcionista foi muito simpática e me deixou à vontade,BENEFICIARIO,email,4,ENCERRADO,OUTRO,2,elogio
"Meu filho tinha medo de dentista, mas saiu feliz dessa vez",BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
"Melhor atendimento que já recebi, gratidão enorme",BENEFICIARIO,telefone,3,ENCERRADO,MULHER_APOLONIA,1,elogio
O voluntário explicou tudo com muita calma e atenção,BENEFICIARIO,presencial,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
"Serviço impecável do início ao fim, muito obrigada",BENEFICIARIO,telefone,3,ENCERRADO,MULHER_APOLONIA,2,elogio
A consulta foi rápida e a doutora foi muito gentil,BENEFICIARIO,telefone,4,ENCERRADO,MULHER_APOLONIA,2,elogio
Vocês mudaram a vida do meu filho com esse atendimento,BENEFICIARIO,whatsapp,3,ENCERRADO,MULHER_APOLONIA,1,elogio
Fiquei impressionada com a qualidade do serviço de vocês,BENEFICIARIO,whatsapp,3,ENCERRADO,MULHER_APOLONIA,2,elogio
"O atendimento presencial foi perfeito, me senti cuidada",BENEFICIARIO,presencial,3,ENCERRADO,MULHER_APOLONIA,2,elogio
"Equipe muito profissional e humana, é difícil encontrar isso",BENEFICIARIO,whatsapp,4,ENCERRADO,MULHER_APOLONIA,1,elogio
Parabéns a todos que fazem esse projeto acontecer,BENEFICIARIO,whatsapp,3,ENCERRADO,MULHER_APOLONIA,2,elogio
Me trataram com muito respeito e dignidade,BENEFICIARIO,presencial,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
O dentista foi incrível com minha menina de 5 anos,BENEFICIARIO,email,3,ENCERRADO,OUTRO,1,elogio
"Meu filho não queria ir mas agora quer voltar, que conquista",BENEFICIARIO,telefone,4,ENCERRADO,OUTRO,2,elogio
Agradeço cada detalhe do atendimento que recebi hoje,BENEFICIARIO,email,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
A voluntária me ligou para confirmar e fui muito bem recebida,BENEFICIARIO,whatsapp,3,ENCERRADO,MULHER_APOLONIA,1,elogio
Serviço de altíssima qualidade para quem mais precisa,BENEFICIARIO,whatsapp,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
O tratamento foi completo e o acompanhamento foi excelente,BENEFICIARIO,email,4,ENCERRADO,MULHER_APOLONIA,2,elogio
"Fui bem orientada em todos os passos, obrigada pela paciência",BENEFICIARIO,email,4,ENCERRADO,MULHER_APOLONIA,1,elogio
O ambiente é acolhedor e a equipe é muito dedicada,BENEFICIARIO,whatsapp,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
Recomendo esse serviço para todas as mães que conheço,BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
Me senti respeitada e bem cuidada durante todo o processo,BENEFICIARIO,telefone,4,ENCERRADO,OUTRO,2,elogio
O atendimento superou todas as minhas expectativas,BENEFICIARIO,presencial,3,ENCERRADO,OUTRO,1,elogio
Cada pessoa que me atendeu foi extraordinária,BENEFICIARIO,presencial,3,ENCERRADO,MULHER_APOLONIA,2,elogio
Meu filho está muito feliz com o resultado do tratamento,BENEFICIARIO,telefone,3,ENCERRADO,MULHER_APOLONIA,2,elogio
"Foram pontuais, atenciosos e muito competentes",BENEFICIARIO,whatsapp,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
Nunca imaginei receber um atendimento tão humanizado,BENEFICIARIO,presencial,3,ENCERRADO,OUTRO,1,elogio
"A equipe é nota dez, não tenho nada a reclamar",BENEFICIARIO,presencial,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
Obrigada por existirem e fazerem a diferença na minha vida,BENEFICIARIO,telefone,3,ENCERRADO,OUTRO,2,elogio
Foram muito pacientes com minha filha que tem autismo,BENEFICIARIO,whatsapp,4,ENCERRADO,MULHER_APOLONIA,1,elogio
O tratamento foi longo mas o acompanhamento foi perfeito,BENEFICIARIO,whatsapp,3,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
"Voltarei sempre que precisar, confiança total no serviço",BENEFICIARIO,whatsapp,3,ENCERRADO,OUTRO,2,elogio
Saí da consulta com o coração cheio de gratidão,BENEFICIARIO,email,3,ENCERRADO,OUTRO,1,elogio
"Excelente iniciativa e execução, parabéns pela organização",BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
"O voluntário foi além do que eu esperava, muito dedicado",BENEFICIARIO,presencial,3,ENCERRADO,MULHER_APOLONIA,2,elogio
Me surpreenderam positivamente em cada etapa,BENEFICIARIO,email,4,ENCERRADO,OUTRO,1,elogio
Atendimento com muita empatia e cuidado genuíno,BENEFICIARIO,presencial,3,ENCERRADO,OUTRO,1,elogio
"Tudo correu perfeitamente, estou muito satisfeita",BENEFICIARIO,whatsapp,3,ENCERRADO,MULHER_APOLONIA,1,elogio
"Que trabalho bonito e necessário, meu muito obrigada",BENEFICIARIO,telefone,3,ENCERRADO,OUTRO,2,elogio
A equipe se importou de verdade com o meu caso,BENEFICIARIO,email,4,ENCERRADO,OUTRO,2,elogio
O dentista foi muito cuidadoso com minha filha adoramos,BENEFICIARIO,telefone,3,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
Quero agradecer imensamente pelo atendimento que recebi,BENEFICIARIO,whatsapp,4,ENCERRADO,MULHER_APOLONIA,2,elogio
"Excelente serviço, meu filho saiu sorrindo da consulta",BENEFICIARIO,whatsapp,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
"A voluntária foi super atenciosa e paciente, parabéns",BENEFICIARIO,telefone,3,ENCERRADO,MULHER_APOLONIA,1,elogio
Graças a vocês meu filho está sem dor de dente pela primeira vez,BENEFICIARIO,whatsapp,4,ENCERRADO,OUTRO,2,elogio
"Nunca fui tão bem atendida, estão de parabéns",BENEFICIARIO,email,4,ENCERRADO,OUTRO,1,elogio
"A equipe foi incrível, me senti acolhida em todos os momentos",BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
"O atendimento foi muito rápido e eficiente, impressionante",BENEFICIARIO,email,3,ENCERRADO,MULHER_APOLONIA,1,elogio
Obrigada de coração pelo cuidado com meu filho,BENEFICIARIO,whatsapp,3,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
Vocês fazem um trabalho lindo e muito importante,BENEFICIARIO,presencial,4,ENCERRADO,MULHER_APOLONIA,1,elogio
A recepcionista foi muito simpática e me deixou à vontade,BENEFICIARIO,telefone,3,ENCERRADO,MULHER_APOLONIA,1,elogio
"Meu filho tinha medo de dentista, mas saiu feliz dessa vez",BENEFICIARIO,email,4,ENCERRADO,OUTRO,1,elogio
"Melhor atendimento que já recebi, gratidão enorme",BENEFICIARIO,email,3,ENCERRADO,MULHER_APOLONIA,1,elogio
O voluntário explicou tudo com muita calma e atenção,BENEFICIARIO,whatsapp,4,ENCERRADO,OUTRO,2,elogio
"Serviço impecável do início ao fim, muito obrigada",BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
A consulta foi rápida e a doutora foi muito gentil,BENEFICIARIO,telefone,3,ENCERRADO,OUTRO,2,elogio
Vocês mudaram a vida do meu filho com esse atendimento,BENEFICIARIO,email,3,ENCERRADO,OUTRO,2,elogio
Fiquei impressionada com a qualidade do serviço de vocês,BENEFICIARIO,telefone,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
"O atendimento presencial foi perfeito, me senti cuidada",BENEFICIARIO,whatsapp,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
"Equipe muito profissional e humana, é difícil encontrar isso",BENEFICIARIO,email,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
Parabéns a todos que fazem esse projeto acontecer,BENEFICIARIO,presencial,4,ENCERRADO,MULHER_APOLONIA,1,elogio
Me trataram com muito respeito e dignidade,BENEFICIARIO,telefone,4,ENCERRADO,MULHER_APOLONIA,2,elogio
O dentista foi incrível com minha menina de 5 anos,BENEFICIARIO,telefone,3,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
"Meu filho não queria ir mas agora quer voltar, que conquista",BENEFICIARIO,email,4,ENCERRADO,OUTRO,1,elogio
Agradeço cada detalhe do atendimento que recebi hoje,BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
A voluntária me ligou para confirmar e fui muito bem recebida,BENEFICIARIO,whatsapp,3,ENCERRADO,MULHER_APOLONIA,1,elogio
Serviço de altíssima qualidade para quem mais precisa,BENEFICIARIO,presencial,3,ENCERRADO,OUTRO,1,elogio
O tratamento foi completo e o acompanhamento foi excelente,BENEFICIARIO,email,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
"Fui bem orientada em todos os passos, obrigada pela paciência",BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
O ambiente é acolhedor e a equipe é muito dedicada,BENEFICIARIO,email,3,ENCERRADO,OUTRO,1,elogio
Recomendo esse serviço para todas as mães que conheço,BENEFICIARIO,email,4,ENCERRADO,MULHER_APOLONIA,2,elogio
Me senti respeitada e bem cuidada durante todo o processo,BENEFICIARIO,presencial,4,ENCERRADO,MULHER_APOLONIA,1,elogio
O atendimento superou todas as minhas expectativas,BENEFICIARIO,whatsapp,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
Cada pessoa que me atendeu foi extraordinária,BENEFICIARIO,email,3,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
Meu filho está muito feliz com o resultado do tratamento,BENEFICIARIO,whatsapp,3,ENCERRADO,OUTRO,2,elogio
"Foram pontuais, atenciosos e muito competentes",BENEFICIARIO,whatsapp,3,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
Nunca imaginei receber um atendimento tão humanizado,BENEFICIARIO,presencial,4,ENCERRADO,OUTRO,2,elogio
"A equipe é nota dez, não tenho nada a reclamar",BENEFICIARIO,telefone,4,ENCERRADO,OUTRO,2,elogio
Obrigada por existirem e fazerem a diferença na minha vida,BENEFICIARIO,whatsapp,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
Foram muito pacientes com minha filha que tem autismo,BENEFICIARIO,presencial,4,ENCERRADO,OUTRO,2,elogio
O tratamento foi longo mas o acompanhamento foi perfeito,BENEFICIARIO,presencial,3,ENCERRADO,OUTRO,2,elogio
"Voltarei sempre que precisar, confiança total no serviço",BENEFICIARIO,whatsapp,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
Saí da consulta com o coração cheio de gratidão,BENEFICIARIO,email,3,ENCERRADO,MULHER_APOLONIA,1,elogio
"Excelente iniciativa e execução, parabéns pela organização",BENEFICIARIO,email,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
"O voluntário foi além do que eu esperava, muito dedicado",BENEFICIARIO,telefone,4,ENCERRADO,MULHER_APOLONIA,1,elogio
Me surpreenderam positivamente em cada etapa,BENEFICIARIO,whatsapp,4,ENCERRADO,OUTRO,1,elogio
Atendimento com muita empatia e cuidado genuíno,BENEFICIARIO,whatsapp,3,ENCERRADO,OUTRO,2,elogio
"Tudo correu perfeitamente, estou muito satisfeita",BENEFICIARIO,email,3,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
"Que trabalho bonito e necessário, meu muito obrigada",BENEFICIARIO,email,3,ENCERRADO,MULHER_APOLONIA,2,elogio
A equipe se importou de verdade com o meu caso,BENEFICIARIO,email,3,ENCERRADO,OUTRO,2,elogio
mt bom o atendimento,BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
amei demais!!!,BENEFICIARIO,whatsapp,3,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
top demais o servico,BENEFICIARIO,presencial,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
Uau adorei tudo,BENEFICIARIO,telefone,3,ENCERRADO,OUTRO,1,elogio
otimo obrigada,BENEFICIARIO,presencial,3,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
muito bom mesmo,BENEFICIARIO,whatsapp,4,ENCERRADO,MULHER_APOLONIA,1,elogio
parabens pra vcs,BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
adorei o atendimento,BENEFICIARIO,telefone,3,ENCERRADO,MULHER_APOLONIA,2,elogio
que gente boa!,BENEFICIARIO,presencial,3,ENCERRADO,MULHER_APOLONIA,2,elogio
meu filho adorou,BENEFICIARIO,telefone,3,ENCERRADO,MULHER_APOLONIA,2,elogio
show de bola,BENEFICIARIO,email,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
otimo servico!,BENEFICIARIO,whatsapp,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
Melhor atendimento,BENEFICIARIO,presencial,3,ENCERRADO,MULHER_APOLONIA,1,elogio
Maravilhoso demais,BENEFICIARIO,telefone,4,ENCERRADO,OUTRO,2,elogio
perfeito 10/10,BENEFICIARIO,presencial,4,ENCERRADO,OUTRO,1,elogio
Gostei muito do servico,BENEFICIARIO,whatsapp,3,ENCERRADO,MULHER_APOLONIA,2,elogio
muito obrigada a todos,BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
minha filha adorou a doutora,BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
Excelentes profissionais,BENEFICIARIO,telefone,3,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
Que atendimento lindo,BENEFICIARIO,email,4,ENCERRADO,OUTRO,1,elogio
muito humanizado gostei,BENEFICIARIO,email,4,ENCERRADO,OUTRO,1,elogio
Nota mil,BENEFICIARIO,telefone,3,ENCERRADO,MULHER_APOLONIA,1,elogio
nunca fui tao bem tratada,BENEFICIARIO,telefone,3,ENCERRADO,OUTRO,2,elogio
mt atenciosos,BENEFICIARIO,email,4,ENCERRADO,OUTRO,1,elogio
foi incrivel,BENEFICIARIO,email,3,ENCERRADO,OUTRO,2,elogio
Voltaria mil vezes,BENEFICIARIO,presencial,4,ENCERRADO,MULHER_APOLONIA,1,elogio
q gentileza impressionante,BENEFICIARIO,whatsapp,4,ENCERRADO,OUTRO,2,elogio
Servico incrivel e de graca ainda,BENEFICIARIO,presencial,3,ENCERRADO,MULHER_APOLONIA,1,elogio
Deus abencoe vcs,BENEFICIARIO,whatsapp,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
muito feliz com o resultado,BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
Que time dedicado,BENEFICIARIO,presencial,4,ENCERRADO,OUTRO,2,elogio
Meus parabens a todos,BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
atendimento rapido e eficiente,BENEFICIARIO,email,3,ENCERRADO,OUTRO,2,elogio
Que surpresa boa,BENEFICIARIO,whatsapp,3,ENCERRADO,MULHER_APOLONIA,2,elogio
ficou excelente o tratamento,BENEFICIARIO,presencial,4,ENCERRADO,MULHER_APOLONIA,2,elogio
amei a equipe,BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
foi muito melhor do que esperava,BENEFICIARIO,email,3,ENCERRADO,MULHER_APOLONIA,2,elogio
Sao anjos esses dentistas,BENEFICIARIO,whatsapp,4,ENCERRADO,MULHER_APOLONIA,2,elogio
Que projeto lindo,BENEFICIARIO,telefone,4,ENCERRADO,MULHER_APOLONIA,2,elogio
muito aconchegante o lugar,BENEFICIARIO,presencial,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
recomendo de olhos fechados,BENEFICIARIO,presencial,3,ENCERRADO,OUTRO,2,elogio
minha filha finalmente ta bem,BENEFICIARIO,whatsapp,4,ENCERRADO,OUTRO,1,elogio
incrivel como se dedicam,BENEFICIARIO,telefone,3,ENCERRADO,MULHER_APOLONIA,1,elogio
Gente muito boa,BENEFICIARIO,telefone,4,ENCERRADO,OUTRO,1,elogio
que atendentes maravilhosos,BENEFICIARIO,email,3,ENCERRADO,MULHER_APOLONIA,2,elogio
amo vcs!,BENEFICIARIO,email,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
meu filho ta super feliz,BENEFICIARIO,whatsapp,3,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
Nota 10 com folga,BENEFICIARIO,telefone,3,ENCERRADO,OUTRO,1,elogio
Que experiencia incrivel,BENEFICIARIO,whatsapp,3,ENCERRADO,MULHER_APOLONIA,1,elogio
Gratidao eterna,BENEFICIARIO,email,4,ENCERRADO,MULHER_APOLONIA,1,elogio
muito atencioso e dedicado,BENEFICIARIO,telefone,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
Voluntarios incriveis,BENEFICIARIO,presencial,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
q servico bom esse,BENEFICIARIO,telefone,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
meu filho sorriu o tempo todo la,BENEFICIARIO,presencial,4,ENCERRADO,OUTRO,1,elogio
Que bom encontrar gente assim,BENEFICIARIO,whatsapp,3,ENCERRADO,OUTRO,1,elogio
top vcs sao demais,BENEFICIARIO,email,4,ENCERRADO,MULHER_APOLONIA,1,elogio
Adorei e meu filho amou tambem,BENEFICIARIO,email,3,ENCERRADO,OUTRO,2,elogio
que atendimento incrivel mesmo,BENEFICIARIO,whatsapp,3,ENCERRADO,MULHER_APOLONIA,1,elogio
vcs sao os melhores mesmo,BENEFICIARIO,presencial,4,ENCERRADO,OUTRO,2,elogio
equipe muito boa e cuidadosa,BENEFICIARIO,presencial,4,ENCERRADO,CRIANCA_ADOLESCENTE,1,elogio
saimos muito felizes daqui,BENEFICIARIO,whatsapp,3,ENCERRADO,OUTRO,1,elogio
Tratamento perfeito parabens,BENEFICIARIO,email,4,ENCERRADO,OUTRO,1,elogio
Excelente trabalho voluntario,BENEFICIARIO,whatsapp,4,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
Que gente dedicada e carinhosa,BENEFICIARIO,presencial,4,ENCERRADO,OUTRO,2,elogio
minha filha ta bem e muito feliz,BENEFICIARIO,email,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
fui surpreendida positivamente,BENEFICIARIO,email,3,ENCERRADO,CRIANCA_ADOLESCENTE,2,elogio
